Dam_ID,metric,sen_slope,mk_tau,mean_value,pct_sen_slope,inde_p,inde_dep,inde_h,inde_trend,ar1_p,ar1_dep,ar1_h,ar1_trend,ltp_p,ltp_dep,ltp_h,ltp_trend
338,total_duration_below_threshold,26.67,0.104,73.12,36.5,0.349839748833134,0,FALSE,0.667,0.450061819987378,0.227,FALSE,0.667,0.668075792948843,0.657,FALSE,0.667
350,total_duration_below_threshold,0,0.069,73.08,0,0.529236761940116,0,FALSE,0,0.525169363936105,-0.011,FALSE,0,0.737449144373012,0.593,FALSE,0
355,total_duration_below_threshold,0,-0.092,73.05,0,0.363631896557142,0,FALSE,0,0.568098723783041,0.47,FALSE,0,0.719248411694897,0.679,FALSE,0
361,total_duration_below_threshold,47.64,0.441,73.42,64.9,3.919309073285e-5,0,TRUE,1.191,0.00289132538916293,0.337,TRUE,1.191,0.179710346357317,0.782,FALSE,1.191
362,total_duration_below_threshold,0,0.018,73.05,0,0.855056728497879,0,FALSE,0,0.923854458494377,0.618,FALSE,0,0.957641999083245,0.765,FALSE,0
367,total_duration_below_threshold,0,0.141,73.05,0,0.150211567665049,0,FALSE,0,0.274865873335082,0.291,FALSE,0,0.527708656223179,0.626,FALSE,0
370,total_duration_below_threshold,-5.63,-0.064,73.1,-7.7,0.56552306002642,0,FALSE,-0.141,0.580622469936972,0.043,FALSE,-0.141,0.689591754625328,0.5,FALSE,-0.141
372,total_duration_below_threshold,15.52,0.186,73.12,21.2,0.0897231526713591,0,FALSE,0.388,0.144564787924665,0.162,FALSE,0.388,0.350014210712852,0.583,FALSE,0.388
373,total_duration_below_threshold,-24.53,-0.44,73.05,-33.6,8.92060714412e-6,0,TRUE,-0.613,0.0378714111786859,0.696,TRUE,-0.613,0.162809400201005,0.765,FALSE,-0.613
374,total_duration_below_threshold,0,0.032,73.3,0,0.778368748114836,0,FALSE,0,0.810831760653757,0.174,FALSE,0,0.870110345878935,0.565,FALSE,0
375,total_duration_below_threshold,12.98,0.2,73.1,17.8,0.0631297849294836,0,FALSE,0.325,0.0799178612982236,0.064,FALSE,0.325,0.259695311058514,0.541,FALSE,0.325
377,total_duration_below_threshold,-26.38,-0.232,73.05,-36.1,0.0287696108294362,0,TRUE,-0.659,0.100489788708845,0.301,FALSE,-0.659,0.297894360442332,0.627,FALSE,-0.659
378,total_duration_below_threshold,0,-0.085,73.1,0,0.42184502211764,0,FALSE,0,0.645789222559747,0.549,FALSE,0,0.773452328154055,0.732,FALSE,0
382,total_duration_below_threshold,0,0.099,73.05,0,0.323799434140525,0,FALSE,0,0.469728379379639,0.326,FALSE,0,0.733171011433726,0.727,FALSE,0
383,total_duration_below_threshold,0,0.06,73.05,0,0.556172817585296,0,FALSE,0,0.667017501998664,0.328,FALSE,0,0.83927978201288,0.734,FALSE,0
384,total_duration_below_threshold,0,-0.242,73.05,0,0.0146407041516949,0,TRUE,0,0.162849758526196,0.55,FALSE,0,0.440978286899886,0.763,FALSE,0
385,total_duration_below_threshold,-125.38,-0.509,79.47,-157.8,9.8875129125e-7,0,TRUE,-3.135,0.128323481115328,0.901,FALSE,-3.135,0.243902707779835,0.897,FALSE,-3.135
386,total_duration_below_threshold,0,0.099,73.08,0,0.31581171673176,0,FALSE,0,0.437502787637692,0.271,FALSE,0,0.664480991608679,0.632,FALSE,0
387,total_duration_below_threshold,-68.83,-0.258,73.05,-94.2,0.0193322611490294,0,TRUE,-1.721,0.119881264823473,0.419,FALSE,-1.721,0.328281572374475,0.693,FALSE,-1.721
388,total_duration_below_threshold,0,0.15,73.05,0,0.137773545034909,0,FALSE,0,0.268565510863256,0.309,FALSE,0,0.528734625429791,0.651,FALSE,0
389,total_duration_below_threshold,0,-0.047,73.05,0,0.645090554899038,0,FALSE,0,0.778540127491976,0.495,FALSE,0,0.879069051488402,0.751,FALSE,0
390,total_duration_below_threshold,-3.37,-0.201,73.08,-4.6,0.0560741765000297,0,FALSE,-0.084,0.206315272193238,0.424,FALSE,-0.084,0.25974648796882,0.544,FALSE,-0.084
391,total_duration_below_threshold,-120,-0.401,73.12,-164.1,2.6010382097733e-4,0,TRUE,-3,0.00132192013724201,0.138,TRUE,-3,0.010980249158345,0.5,TRUE,-3
392,total_duration_below_threshold,0,-0.009,73.05,0,0.943782410917979,0,FALSE,0,0.945993246675767,0.043,FALSE,0,0.960992637973348,0.5,FALSE,0
393,total_duration_below_threshold,0,0.064,73.05,0,0.548482917698211,0,FALSE,0,0.727168037209199,0.536,FALSE,0,0.804571789393056,0.68,FALSE,0
394,total_duration_below_threshold,0,-0.144,73.05,0,0.149529918404499,0,FALSE,0,0.281985211234218,0.308,FALSE,0,0.575281374765481,0.68,FALSE,0
396,total_duration_below_threshold,0,0.088,73.05,0,0.412062230032103,0,FALSE,0,0.478920624333775,0.158,FALSE,0,0.620955742626578,0.541,FALSE,0
398,total_duration_below_threshold,0,-0.114,73.08,0,0.281242185344215,0,FALSE,0,0.353068873488542,0.16,FALSE,0,0.482836013968768,0.508,FALSE,0
399,total_duration_below_threshold,-46.76,-0.167,73.12,-63.9,0.132597722816021,0,FALSE,-1.169,0.23832439166516,0.258,FALSE,-1.169,0.4989929958242,0.665,FALSE,-1.169
411,total_duration_below_threshold,0,0.106,73.08,0,0.315347329860539,0,FALSE,0,0.43239071416134,0.261,FALSE,0,0.651467860170979,0.646,FALSE,0
413,total_duration_below_threshold,48.35,0.219,73.72,65.6,0.0475823808672841,0,TRUE,1.209,0.201877692423841,0.448,FALSE,1.209,0.470443115548234,0.749,FALSE,1.209
415,total_duration_below_threshold,-180.43,-0.706,73.53,-245.4,1.4011584e-10,0,TRUE,-4.511,0.00256037707409517,0.692,TRUE,-4.511,0.00443950361888246,0.67,TRUE,-4.511
416,total_duration_below_threshold,0,-0.018,73.08,0,0.855018978266448,0,FALSE,0,0.938254357968427,0.756,FALSE,0,0.9598101764571,0.786,FALSE,0
421,total_duration_below_threshold,0,-0.044,73.05,0,0.680318787152504,0,FALSE,0,0.778889832664587,0.396,FALSE,0,0.901569600581188,0.8,FALSE,0
423,total_duration_below_threshold,-67.37,-0.294,73.08,-92.2,0.00626344962442157,0,TRUE,-1.684,0.197373418288868,0.69,FALSE,-1.684,0.367864884838885,0.778,FALSE,-1.684
430,total_duration_below_threshold,0,0.045,73.17,0,0.623737401975702,0,FALSE,0,0.753575513273879,0.454,FALSE,0,0.833715768475472,0.602,FALSE,0
438,total_duration_below_threshold,0,-0.179,67.34,0,0.0957280707823423,0,FALSE,0,0.0649351524264667,-0.11,FALSE,0,0.362576482037812,0.565,FALSE,0
449,total_duration_below_threshold,0.83,0.101,73.2,1.1,0.35450557918412,0,FALSE,0.021,0.479607748165744,0.285,FALSE,0.021,0.735549695253475,0.741,FALSE,0.021
451,total_duration_below_threshold,0,-0.172,73.1,0,0.0887975639311648,0,FALSE,0,0.265891621677737,0.434,FALSE,0,0.528809277536187,0.705,FALSE,0
456,total_duration_below_threshold,0,-0.037,73.05,0,0.742062428486213,0,FALSE,0,0.757323544700351,0.068,FALSE,0,0.819465894089197,0.5,FALSE,0
473,total_duration_below_threshold,0,0.144,73.05,0,0.142940270157353,0,FALSE,0,0.289917444076681,0.34,FALSE,0,0.674234291221762,0.795,FALSE,0
477,total_duration_below_threshold,0,-0.04,73.08,0,0.71553082616802,0,FALSE,0,0.799428489031987,0.374,FALSE,0,0.870795917861327,0.652,FALSE,0
479,total_duration_below_threshold,0,0.145,73.05,0,0.132121585925214,0,FALSE,0,0.416510889755066,0.595,FALSE,0,0.646083754619906,0.763,FALSE,0
481,total_duration_below_threshold,34.35,0.186,73.05,47,0.0859633614772886,0,FALSE,0.859,0.265954738449992,0.443,FALSE,0.859,0.453344355039833,0.668,FALSE,0.859
488,total_duration_below_threshold,0,-0.115,73.15,0,0.28847123074019,0,FALSE,0,0.423204699463285,0.297,FALSE,0,0.558235961721235,0.578,FALSE,0
491,total_duration_below_threshold,-60,-0.223,73.17,-82,0.0438101565171171,0,TRUE,-1.5,0.0716589691126847,0.121,FALSE,-1.5,0.331875877733708,0.639,FALSE,-1.5
492,total_duration_below_threshold,0,-0.085,73.05,0,0.361057730578099,0,FALSE,0,0.556255702611154,0.448,FALSE,0,0.757874907679486,0.705,FALSE,0
497,total_duration_below_threshold,-60.91,-0.301,73.08,-83.4,0.0038300660777396,0,TRUE,-1.523,0.0617612959816633,0.445,FALSE,-1.523,0.255335133658995,0.695,FALSE,-1.523
